code,type,printed_title,stable_target_identity,source_location,status,notes
N-001,nostalgia,1950s Country,"{""decade_genre_id"": 24, ""decade_slug"": ""1950s"", ""genre_slug"": ""country""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-002,nostalgia,1950s Pop,"{""decade_genre_id"": 49, ""decade_slug"": ""1950s"", ""genre_slug"": ""pop""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-003,nostalgia,1950s Rock,"{""decade_genre_id"": 50, ""decade_slug"": ""1950s"", ""genre_slug"": ""rock""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-004,nostalgia,1950s RNB Soul,"{""decade_genre_id"": 26, ""decade_slug"": ""1950s"", ""genre_slug"": ""rnb_soul""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-005,nostalgia,1950s Latin Global,"{""decade_genre_id"": 33, ""decade_slug"": ""1950s"", ""genre_slug"": ""latin_global""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-006,nostalgia,1950s Blues Jazz,"{""decade_genre_id"": 41, ""decade_slug"": ""1950s"", ""genre_slug"": ""blues_jazz""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-007,nostalgia,1950s Folk Acoustic,"{""decade_genre_id"": 51, ""decade_slug"": ""1950s"", ""genre_slug"": ""folk_acoustic""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-008,nostalgia,1950s TV Themes,"{""decade_genre_id"": 63, ""decade_slug"": ""1950s"", ""genre_slug"": ""tv_themes""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-009,nostalgia,1960s Country,"{""decade_genre_id"": 7, ""decade_slug"": ""1960s"", ""genre_slug"": ""country""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-010,nostalgia,1960s Pop,"{""decade_genre_id"": 8, ""decade_slug"": ""1960s"", ""genre_slug"": ""pop""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-011,nostalgia,1960s Rock,"{""decade_genre_id"": 10, ""decade_slug"": ""1960s"", ""genre_slug"": ""rock""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-012,nostalgia,1960s RNB Soul,"{""decade_genre_id"": 25, ""decade_slug"": ""1960s"", ""genre_slug"": ""rnb_soul""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-013,nostalgia,1960s Latin Global,"{""decade_genre_id"": 34, ""decade_slug"": ""1960s"", ""genre_slug"": ""latin_global""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-014,nostalgia,1960s Blues Jazz,"{""decade_genre_id"": 42, ""decade_slug"": ""1960s"", ""genre_slug"": ""blues_jazz""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-015,nostalgia,1960s Folk Acoustic,"{""decade_genre_id"": 52, ""decade_slug"": ""1960s"", ""genre_slug"": ""folk_acoustic""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-016,nostalgia,1960s TV Themes,"{""decade_genre_id"": 64, ""decade_slug"": ""1960s"", ""genre_slug"": ""tv_themes""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-017,nostalgia,1970s Country,"{""decade_genre_id"": 11, ""decade_slug"": ""1970s"", ""genre_slug"": ""country""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-018,nostalgia,1970s Pop,"{""decade_genre_id"": 12, ""decade_slug"": ""1970s"", ""genre_slug"": ""pop""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-019,nostalgia,1970s Rock,"{""decade_genre_id"": 13, ""decade_slug"": ""1970s"", ""genre_slug"": ""rock""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-020,nostalgia,1970s RNB Soul,"{""decade_genre_id"": 27, ""decade_slug"": ""1970s"", ""genre_slug"": ""rnb_soul""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-021,nostalgia,1970s Latin Global,"{""decade_genre_id"": 35, ""decade_slug"": ""1970s"", ""genre_slug"": ""latin_global""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-022,nostalgia,1970s Blues Jazz,"{""decade_genre_id"": 43, ""decade_slug"": ""1970s"", ""genre_slug"": ""blues_jazz""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-023,nostalgia,1970s Folk Acoustic,"{""decade_genre_id"": 53, ""decade_slug"": ""1970s"", ""genre_slug"": ""folk_acoustic""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-024,nostalgia,1970s TV Themes,"{""decade_genre_id"": 65, ""decade_slug"": ""1970s"", ""genre_slug"": ""tv_themes""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-025,nostalgia,1980s Country,"{""decade_genre_id"": 1, ""decade_slug"": ""1980s"", ""genre_slug"": ""country""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-026,nostalgia,1980s Pop,"{""decade_genre_id"": 2, ""decade_slug"": ""1980s"", ""genre_slug"": ""pop""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-027,nostalgia,1980s Rock,"{""decade_genre_id"": 14, ""decade_slug"": ""1980s"", ""genre_slug"": ""rock""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-028,nostalgia,1980s RNB Soul,"{""decade_genre_id"": 28, ""decade_slug"": ""1980s"", ""genre_slug"": ""rnb_soul""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-029,nostalgia,1980s Latin Global,"{""decade_genre_id"": 36, ""decade_slug"": ""1980s"", ""genre_slug"": ""latin_global""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-030,nostalgia,1980s Blues Jazz,"{""decade_genre_id"": 44, ""decade_slug"": ""1980s"", ""genre_slug"": ""blues_jazz""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-031,nostalgia,1980s Folk Acoustic,"{""decade_genre_id"": 54, ""decade_slug"": ""1980s"", ""genre_slug"": ""folk_acoustic""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-032,nostalgia,1980s TV Themes,"{""decade_genre_id"": 66, ""decade_slug"": ""1980s"", ""genre_slug"": ""tv_themes""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-033,nostalgia,1990s Country,"{""decade_genre_id"": 15, ""decade_slug"": ""1990s"", ""genre_slug"": ""country""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-034,nostalgia,1990s Pop,"{""decade_genre_id"": 16, ""decade_slug"": ""1990s"", ""genre_slug"": ""pop""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-035,nostalgia,1990s Rock,"{""decade_genre_id"": 17, ""decade_slug"": ""1990s"", ""genre_slug"": ""rock""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-036,nostalgia,1990s RNB Soul,"{""decade_genre_id"": 29, ""decade_slug"": ""1990s"", ""genre_slug"": ""rnb_soul""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-037,nostalgia,1990s Latin Global,"{""decade_genre_id"": 37, ""decade_slug"": ""1990s"", ""genre_slug"": ""latin_global""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-038,nostalgia,1990s Blues Jazz,"{""decade_genre_id"": 45, ""decade_slug"": ""1990s"", ""genre_slug"": ""blues_jazz""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-039,nostalgia,1990s Folk Acoustic,"{""decade_genre_id"": 55, ""decade_slug"": ""1990s"", ""genre_slug"": ""folk_acoustic""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-040,nostalgia,1990s TV Themes,"{""decade_genre_id"": 67, ""decade_slug"": ""1990s"", ""genre_slug"": ""tv_themes""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-041,nostalgia,2000s Country,"{""decade_genre_id"": 3, ""decade_slug"": ""2000s"", ""genre_slug"": ""country""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-042,nostalgia,2000s Pop,"{""decade_genre_id"": 4, ""decade_slug"": ""2000s"", ""genre_slug"": ""pop""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-043,nostalgia,2000s Rock,"{""decade_genre_id"": 5, ""decade_slug"": ""2000s"", ""genre_slug"": ""rock""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
N-044,nostalgia,2000s RNB Soul,"{""decade_genre_id"": 30, ""decade_slug"": ""2000s"", ""genre_slug"": ""rnb_soul""}",backend/scripts/catalogs/catalog_code_manifest.json#nostalgia,printed_verified,
